system:index,B11,B12,B2,B3,B4,B8,NDVI,OC,VH,VV,VV_div_VH,VV_minus_VH,aspect,elev,slope,.geo
000000000000000008b8_0,3131.0,2767.0,1725.0,1996.0,2128.0,4028.0,0.30864197,10.4,-19.548110016859688,-10.824438038972799,0.5537332268765128,8.72367197788689,28,174,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.995774170937095,51.97773506478907]}"
000000000000000008c4_0,3356.0,2930.0,1660.0,1939.0,2150.0,3164.0,0.19081672,20.4,-19.292222156265048,-10.070138888860027,0.5219792104451692,9.22208326740502,141,389,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.917436503880021,51.37020443813904]}"
0000000000000000096a_0,3148.0,2688.0,1597.0,1792.0,1888.0,3898.0,0.34739026,20.1,-19.62498563764198,-12.796502028391972,0.6520515359688958,6.828483609250009,0,12,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.779828325198464,54.118330555317485]}"
00000000000000000986_0,2797.5,2111.0,1695.0,2000.0,1997.0,4234.0,0.35901138,29.8,-18.50145153523603,-10.463550231337098,0.5655529357471903,8.03790130389893,122,463,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.596935907633581,50.62271629022319]}"
0000000000000000075a_0,2830.5,1996.5,1261.5,1443.0,1325.0,3455.0,0.4456067,14.7,-20.563118254369055,-14.684779975200756,0.7141319615803248,5.8783382791682985,287,41,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.721446980294397,52.92177459687028]}"
0000000000000000077c_0,3679.5,2993.5,1806.0,2089.0,2266.0,3953.5,0.27132407,18,-19.816870433036033,-12.456296156548346,0.6285702981527738,7.360574276487688,0,70,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.938574358747937,53.21193043364089]}"
000000000000000006c9_0,3054.0,2148.5,1466.5,1740.5,1667.0,4796.0,0.4841405,20.2,-20.016527744433045,-15.084038110889054,0.7535791573583083,4.932489633543991,223,466,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.72162206906937,48.606088308903274]}"
00000000000000000786_0,3158.0,2351.0,1427.0,1655.0,1631.5,3595.5,0.37574133,12.2,-19.11168002687338,-12.624195342635966,0.660548697178102,6.487484684237414,301,34,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.09748633250868,52.99067537916225]}"
0000000000000000080d_0,3659.5,2724.0,1513.0,1749.0,1789.0,3954.5,0.3770349,29.9,-18.320523772122797,-12.233191116641766,0.6677315162384305,6.087332655481031,140,101,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.548871465651334,52.82556502994108]}"
00000000000000000844_0,3376.0,2510.0,1457.0,1731.0,1763.0,4626.5,0.44815713,252.2,-18.801208503159952,-13.442795904245678,0.7149963738759838,5.358412598914274,107,31,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.412682294296964,53.47235203450713]}"
